0;depot;35;35;0
1;c01;41;49;10
2;c02;35;17;7
3;c03;55;45;13
4;c04;55;20;19
5;c05;15;30;26
6;c06;25;30;3
7;c07;20;50;5
8;c08;10;43;9
9;c09;55;60;16
10;c10;30;60;16
11;c11;20;65;12
12;c12;50;35;19
13;c13;30;25;23
14;c14;15;10;20
15;c15;30;5;8
16;c16;10;20;19
17;c17;5;30;2
18;c18;20;40;12
19;c19;15;60;17
20;c20;45;65;9
21;c21;45;20;11
22;c22;45;10;18
23;c23;55;5;29
24;c24;65;35;3
25;c25;65;20;6
26;c26;45;30;17
27;c27;35;40;16
28;c28;41;37;16
29;c29;64;42;9
30;c30;40;60;21
31;c31;31;52;27
32;c32;35;69;23
33;c33;53;52;11
34;c34;65;55;14
35;c35;63;65;8
36;c36;2;60;5
37;c37;20;20;8
38;c38;5;5;16
39;c39;60;12;31
40;c40;40;25;9
41;c41;42;7;5
42;c42;24;12;5
43;c43;23;3;7
44;c44;11;14;18
45;c45;6;38;16
46;c46;2;48;1
47;c47;8;56;27
48;c48;13;52;36
49;c49;6;68;30
50;c50;47;47;13
51;c51;49;58;10
52;c52;27;43;9
53;c53;37;31;14
54;c54;57;29;18
55;c55;63;23;2
56;c56;53;12;6
57;c57;32;12;7
58;c58;36;26;18
59;c59;21;24;28
60;c60;17;34;3
61;c61;12;24;13
62;c62;24;58;19
63;c63;27;69;10
64;c64;15;77;9
65;c65;62;77;20
66;c66;49;73;25
67;c67;67;5;25
68;c68;56;39;36
69;c69;37;47;6
70;c70;37;56;5
71;c71;57;68;15
72;c72;47;16;25
73;c73;44;17;9
74;c74;46;13;8
75;c75;49;11;18
76;c76;49;42;13
77;c77;53;43;14
78;c78;61;52;3
79;c79;57;48;23
80;c80;56;37;6
81;c81;55;54;26
82;c82;15;47;16
83;c83;14;37;11
84;c84;11;31;7
85;c85;16;22;41
86;c86;4;18;35
87;c87;28;18;26
88;c88;26;52;9
89;c89;26;35;15
90;c90;31;67;3
91;c91;15;19;1
92;c92;22;22;2
93;c93;18;24;22
94;c94;26;27;27
95;c95;25;24;20
96;c96;22;27;11
97;c97;25;21;12
98;c98;19;21;10
99;c99;20;26;9
100;c100;18;18;17
